id_cliente,age,job,marital,education,default,housing,loan
1,56,housemaid,married,basic.4y,no,no,no
2,57,services,married,high.school,unknown,no,no
3,37,services,married,high.school,no,yes,no
4,40,admin.,married,basic.6y,no,no,no
5,56,services,married,high.school,no,no,yes
6,45,services,married,basic.9y,unknown,no,no
7,59,admin.,married,professional.course,no,no,no
8,41,blue-collar,married,unknown,unknown,no,no
9,24,technician,single,professional.course,no,yes,no
10,25,services,single,high.school,no,yes,no
11,41,blue-collar,married,unknown,unknown,no,no
12,25,services,single,high.school,no,yes,no
13,29,blue-collar,single,high.school,no,no,yes
14,57,housemaid,divorced,basic.4y,no,yes,no
15,35,blue-collar,married,basic.6y,no,yes,no
16,54,retired,married,basic.9y,unknown,yes,yes
17,35,blue-collar,married,basic.6y,no,yes,no
18,46,blue-collar,married,basic.6y,unknown,yes,yes
19,50,blue-collar,married,basic.9y,no,yes,yes
20,39,management,single,basic.9y,unknown,no,no
21,30,unemployed,married,high.school,no,no,no
22,55,blue-collar,married,basic.4y,unknown,yes,no
23,55,retired,single,high.school,no,yes,no
24,41,technician,single,high.school,no,yes,no
25,37,admin.,married,high.school,no,yes,no
26,35,technician,married,university.degree,no,no,yes
27,59,technician,married,unknown,no,yes,no
28,39,self-employed,married,basic.9y,unknown,no,no
29,54,technician,single,university.degree,unknown,no,no
30,55,unknown,married,university.degree,unknown,unknown,unknown
31,46,admin.,married,unknown,no,no,no
32,59,technician,married,unknown,no,yes,no
33,49,blue-collar,married,unknown,no,no,no
34,54,management,married,basic.4y,unknown,yes,no
35,54,blue-collar,divorced,basic.4y,no,no,no
36,55,unknown,married,basic.4y,unknown,yes,no
37,34,services,married,high.school,no,no,no
38,52,technician,married,basic.9y,no,yes,no
39,41,admin.,married,university.degree,no,yes,no
40,56,technician,married,basic.4y,no,yes,no
41,58,management,unknown,university.degree,no,yes,no
42,32,entrepreneur,married,high.school,no,yes,no
43,38,admin.,single,professional.course,no,no,no
44,57,admin.,married,university.degree,no,no,yes
45,44,admin.,married,university.degree,unknown,yes,no
46,42,technician,single,professional.course,unknown,no,no
47,57,admin.,married,university.degree,no,yes,yes
48,40,blue-collar,married,basic.9y,no,no,yes
49,35,admin.,married,university.degree,no,yes,no
50,45,blue-collar,married,basic.9y,no,yes,no
51,54,admin.,married,high.school,no,no,no
52,39,housemaid,married,basic.4y,no,no,yes
53,60,admin.,married,high.school,no,no,no
54,53,admin.,single,professional.course,no,no,no
55,55,blue-collar,married,basic.4y,unknown,no,no
56,55,technician,married,professional.course,unknown,yes,no
57,50,management,married,university.degree,unknown,no,yes
58,45,services,married,high.school,unknown,yes,no
59,55,unemployed,married,professional.course,unknown,yes,yes
60,25,technician,single,university.degree,no,yes,no
61,47,entrepreneur,married,university.degree,unknown,no,no
62,51,blue-collar,married,basic.9y,no,yes,no
63,42,blue-collar,married,basic.6y,unknown,yes,no
64,42,blue-collar,married,basic.6y,unknown,no,no
